org_uuid,acquirer_uuid,acquirer_name,acquired_on,price_usd
ab98ae3d-3510-5ff2-c16f-18708b896331,2819f696-2d87-d4ef-9cbf-ba5418fdfd7a,GTX Corp,2005-12-01,0.0
47f68451-c829-8645-0f76-94cbf63186fc,d37766b9-beb0-034b-3797-32dece0e5f50,AdUX,2007-08-27,90000000.0
b168d7b4-784e-6f16-dcc0-76f1c75bcb51,2f2574cc-97b9-83ce-e146-c172952a63c1,ITV,2005-12-01,0.0
55db9dfa-f182-68c1-8c9f-15e8d90aa15b,d70777cc-14bd-2416-0692-5a483781b78b,Fox Interactive Media,2005-09-01,650000000.0
36a5df66-0a13-9423-b266-cd74f2227944,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay,2006-04-24,48300000.0
db39dbfe-3f3b-f444-5cc1-5f0814ab1cdb,29d5b102-2cf3-b545-4eff-b08ecb8e2d2a,Marchex,2006-05-30,0.0
fa35ddc7-68e2-0f6d-09ec-afc7aa7ff0d6,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2006-01-01,102000000.0
d6cde56f-ad92-487c-2f72-177382a1f3fd,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,eBay,2007-03-30,0.0
b861cfa9-cd77-0475-b48f-ff4de11ec721,ff258df5-2976-2d81-d086-c262528fa0bb,Virgin Group,2007-05-17,0.0
43bfb0e0-1ae0-3010-73f0-4df03f873b8a,e6b40090-6a1d-d506-0bde-135ce10c1589,BabyCenter,2007-08-28,0.0
69d358fa-e450-4dcb-e1c7-becc0a8d7838,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2007-05-29,0.0
ec75329b-b01c-74b4-19ec-a72bb5f21192,032eea86-255c-8c0f-f333-8665f1fefa69,"TheFind, Inc.",2007-08-01,0.0
bf851e83-e799-61bb-e472-6064265bc0af,a61e2508-0dd5-56fb-1c9f-c035ebe699ca,Incisive Media,2005-08-01,0.0
80df3170-4d47-ce89-ca3a-adc6f624adfd,f7d2e514-f2e0-2eaf-3388-aa9f09882bcf,Getty Images,2007-06-01,42000000.0
ec13711e-14bc-fc33-f818-55d510b87a36,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2007-07-24,0.0
bb61e882-0e7a-4fa0-6d2d-aadc7b5aa316,c1a672fb-98fb-5284-1236-bdfa905a982e,Nokia,2007-07-24,96800000.0
7945db89-e58a-5c68-813e-07bad852a683,1cf84c53-b318-0ee6-ab2e-16fdd445432d,Fisher Communications,2007-07-01,0.0
3104fe87-8210-bbdc-5525-95c2265a3386,07a6e52d-6b2c-2519-ea0f-04c62cde44bc,Rakuten,2005-09-05,425000000.0
62d1ade0-89ee-3b14-5824-2d0212ac96ff,4a5662ad-329c-ab2a-5f1c-baed24155728,Conversant,2005-08-11,132000000.0
7676e0bf-ea50-7455-d0a9-1fef09e9c460,86b086d4-07db-adb7-4b8c-106d5e306ce5,Real Networks,2006-09-12,56000000.0
6fa2de35-7f63-b2a2-c9ee-612239c0bd59,5a6207e2-b868-9f41-5178-8d51d2c40a93,Electronic Arts,2005-12-08,680000000.0
939bfeee-f48b-83d7-7ee7-9d06d244a57a,ee9393bc-9830-fe9a-0dbb-a751f806b552,VeriSign Authentication Services,2005-01-01,0.0
05922758-a3de-ad6d-8c9f-6f7e1529da69,96fb742c-3b18-60db-f179-d64913640fd6,EchoStar,2007-09-24,380000000.0
7b6d89bc-d6fc-7edf-bda0-3f16c20f7fea,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2007-09-17,350000000.0
26cc5bc7-bb3b-3324-2fd1-4ffd804ff752,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2004-03-26,0.0
24eecffe-abfb-118f-1361-893373635f3e,1c7095b9-349b-fc5b-53d9-ac699f6527d1,MSNBC,2007-10-08,0.0
86a38147-4d58-1eb7-e8de-47f8b0b1827b,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2007-10-09,12000000.0
3b80fbcc-bf72-de7f-c74f-2973e358ea94,3f2b5885-4257-0d74-f05a-7b9a89bf77f7,Hearst Communications,2007-08-01,0.0
e761f568-43ea-69f3-cca5-eaf28b507a94,f09c1228-2e7d-1889-6647-ba5021b2e4ea,CBS Entertainment,2007-10-01,0.0
37b57e7b-67a7-d340-2d8b-98c74cc0dc81,6a8c679d-5725-f9a0-de0d-e9ba2ea8c46a,American Greetings,2007-10-01,45000000.0
37b57e7b-67a7-d340-2d8b-98c74cc0dc81,643d60b4-bfa8-ee61-3316-5af0d8325f33,Excite,1999-10-01,82000000.0
c750db1b-559a-0583-41dc-2fa27a64af61,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2005-03-20,0.0
b7b082d8-aa45-24c8-5065-c32c9e554b9c,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2005-10-05,0.0
fc8e5134-83c4-9036-dc15-f86180526037,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2007-11-07,340000000.0
923944c9-ca50-c941-a1d3-14729d244760,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2007-09-04,300000000.0
1ec1e106-bf88-3bcf-7d97-aa85aa875417,aa1e8e87-3f26-f8be-a22f-f11a71eff0b7,Datran Media,2007-08-01,0.0
11eda206-bd7c-7f7e-d10f-7063d3761c4c,a9d8ce09-b7aa-5415-7f98-f7b41b046af6,TheStreet,2007-11-01,0.0
b759a918-3658-9eea-85a4-a770ace46bba,c82d802d-5519-9663-0895-5fb717820f33,Omniture,2007-10-25,394000000.0
0f38af1e-1410-4aac-8145-d9311eafc93a,db95becb-32c2-6866-0ce4-97d87a43ca16,Interwoven,2007-10-01,0.0
e0986260-5f27-8b26-981f-44242080212d,c626d079-467c-fb28-bf13-e7f40f9138bd,Warner Bros. Discovery,2007-10-10,250000000.0
35b16561-1b57-6eb6-1ce6-e2877cf712de,86b086d4-07db-adb7-4b8c-106d5e306ce5,Real Networks,2007-09-27,20000000.0
cf308426-1f30-3a75-41ed-8c4a7cdf1e43,4e3c0b44-3332-aaa8-933a-55ce77ce23d8,Platial,2007-10-01,0.0
323543c7-069c-5986-5fe2-f9fe59358128,f7d2e514-f2e0-2eaf-3388-aa9f09882bcf,Getty Images,2006-02-01,0.0
042f33ca-34ca-b1ce-d28a-de06d5e40e5d,7103e064-eb56-1aeb-af09-2a4d53d03e16,News Corp,2007-12-01,0.0
9c5af695-7c50-5b7c-9ebc-ec43f44187fc,f96c0149-d245-d86b-d0b5-5b2040f5bec4,IAC,2006-08-15,0.0
fa9442b8-6051-0438-5511-c38e481a3c29,d5baee96-359e-6264-7b8e-7f1ca72f6fe8,Ask.com,2005-02-01,0.0
b62feb13-991c-2ae7-8faa-0b96d9a69ec6,ae1ec5c5-5352-cd5d-8db5-220b46626b12,KAYAK,2007-12-20,200000000.0
971ee2a4-d9d7-c5c8-5415-7ac96152f83b,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2006-01-10,0.0
6058e080-a00d-e060-b9d6-a9565517bf98,bbd3ae58-58e2-d81c-42bf-97d4a07ac0d1,NetApp,2008-01-03,120000000.0
eebc6a61-2eca-b0c8-ffad-3183844da4b9,f36f11ca-37d8-2e91-e664-e048355c5d54,Shutterfly,2008-01-01,0.0
8d253cf9-09b2-5506-6c48-bcc5fec30ec7,7f693ef5-8ff9-e713-e23e-c2df90f7431c,Liberty Media,2008-01-01,0.0
59949674-f82c-c39d-d5ae-f28bc5765571,bd0aa3aa-c14e-5fe3-396b-7e19a2f4d141,Sun Microsystems,2008-01-16,1000000000.0
fc79acd5-1dcf-9886-c1dc-af3666a3ac10,6ef01709-7950-75bb-7c69-462b2243d853,Ticketmaster,2008-01-01,265000000.0
d5baee96-359e-6264-7b8e-7f1ca72f6fe8,f96c0149-d245-d86b-d0b5-5b2040f5bec4,IAC,2005-03-21,1850000000.0
5053480a-8584-10e7-a445-0f363a89de1a,051adf53-d6db-850f-1965-c5cf5b8ddaa0,ATG (Art Technology Group),2008-01-01,10000000.0
24502470-c845-84b8-b2de-56a153d4d060,cd53b213-53dc-0b82-be18-24deab2b8634,Sovrn,2008-01-01,0.0
d98d9b6d-40b9-a475-9d16-8bb9f39f054d,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2006-10-31,0.0
2ededec6-444d-b29a-f4d1-3e3a48fe23fc,ea57a598-2a00-8403-a376-f6eb24922a1f,CNET Networks,2007-11-07,20000000.0
8da5cc97-4fdb-9a0a-fae8-150683c88648,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Amazon,1999-05-23,250000000.0
79b66a75-e929-56f0-1335-12c9871e5fe8,681922e2-e2d2-563e-bdf2-271becff6207,v2 Ventures,2007-12-06,0.0
58f945b1-8b54-4845-f445-e91a0b90f52f,66b01abe-71a4-6943-5d8d-669e2b775998,Monster,2004-05-24,93700000.0
b2c44ad9-5ca1-ca6c-ebf5-2ee57ffff232,66b01abe-71a4-6943-5d8d-669e2b775998,Monster,2004-04-23,86000000.0
ff81b40a-d963-2d7c-91a9-ec7dabe29c94,66b01abe-71a4-6943-5d8d-669e2b775998,Monster,2008-01-04,0.0
6024951d-4cfa-057d-aa46-fc3411b11e8f,44af4c8c-cc9e-b403-1a4b-403ed732a7f7,b5media,2007-10-01,0.0
d6ed10a1-b960-8f9c-3757-f321f3c88a1a,44af4c8c-cc9e-b403-1a4b-403ed732a7f7,b5media,2007-07-16,0.0
8988d0e2-3910-8dd1-56cd-31941d7e70d3,44af4c8c-cc9e-b403-1a4b-403ed732a7f7,b5media,2005-11-07,0.0
d079aae7-4fd7-bbcc-71cb-7b71d93d3270,e8364b6a-3806-687a-04f5-daad33c28279,ruby,2008-02-08,0.0
