person_uuid,institution_uuid,institution_name,degree_type,subject,degree_started_on,degree_completed_on,degree_is_completed
d37cfa1b-d84f-da8a-eb3e-dc069d75a858,dcb99002-9225-c513-27c6-9002b6103bc0,Yale University,BS,Engineering Sciences,1999-01-01,2003-01-01,True
83d11fe7-64b2-fb97-7abe-3ff808ecf0c9,630773ca-bbdf-bb41-2985-41a23ffdd01a,Harvard Business School,MBA,unknown,1995-01-01,1999-01-01,True
83d11fe7-64b2-fb97-7abe-3ff808ecf0c9,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,BS,Industrial Engineering,1989-01-01,1993-01-01,True
dbe24724-4a09-ed97-627f-3da5e4061c03,18dcb31c-7bc3-d01d-5229-73f80edb1c0f,California State University,MBA,Business Administration and Management,1999-01-01,2001-01-01,True
ad6e35c9-aa46-23ec-4ede-a5e01f58bfb6,37e3f455-b8b2-9f5f-5e19-dcf4a247fc65,University of Chicago,BA,Biology,1984-01-01,1988-01-01,True
ad6e35c9-aa46-23ec-4ede-a5e01f58bfb6,37e3f455-b8b2-9f5f-5e19-dcf4a247fc65,University of Chicago,MA,Sociology,1992-01-01,1996-01-01,True
ad6e35c9-aa46-23ec-4ede-a5e01f58bfb6,37e3f455-b8b2-9f5f-5e19-dcf4a247fc65,University of Chicago,Ph.D,Clinical Psychology,1990-01-01,1994-01-01,True
77ff3a23-7993-b457-4140-0a777cf98232,3b4faff0-708e-8c1c-83f0-6fea01016519,Indiana University Bloomington,MA,Journalism,1985-01-01,1989-01-01,True
77ff3a23-7993-b457-4140-0a777cf98232,e3f96969-e9da-73bf-537c-7c9e5de008b2,Aligarh Muslim University,B.Tech,Computer Engineering,1992-01-01,1996-01-01,True
bd7fe9d0-90c2-516b-3475-89bd3d9e1756,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,BS,Computer Science,1987-01-01,1991-01-01,True
bd7fe9d0-90c2-516b-3475-89bd3d9e1756,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,MS,Computer Science,1989-01-01,1993-01-01,True
37c6e4c4-65fc-2855-f87e-1f5ff3cb21fb,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,B.S,General Engineering: Industrial Economics,1985-01-01,1989-01-01,True
fcc77915-8022-4d59-7301-2d2661c2a098,c89de999-8028-0b79-3a79-567a71075c4b,Hampshire College,BA,Economics,1976-01-01,1980-01-01,True
b9973ee6-76c3-b064-8620-7a3571549a1c,856b65d7-1ce3-7893-96f5-9dfc88f6c741,Dartmouth College,BS,Computer Engineering,2002-01-01,2006-01-01,True
3f9a1ab5-8a93-512f-5d04-f36951b007fa,4463c2d7-3901-347d-7fe8-4ddd2d55f5be,Purdue University College of Engineering,BS,Computer Engineering,1997-01-01,2001-01-01,True
01dffd0f-aedc-a233-1d43-c68b52955372,10f9a25b-9675-2281-486e-a52955c706df,University of California Berkeley,BS,Economics & Computer Science,1998-01-01,2002-01-01,True
a2403a15-2d58-fbed-5eff-138e16e61b36,1f5c4762-8a39-7638-d675-0f2d93f52327,University of Notre Dame,BA,Business,1986-01-01,1990-01-01,True
f0840837-298a-f4e1-ff8c-d9582fb8b381,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,Ph.D,Cell Biology,1989-01-01,1993-01-01,True
f0840837-298a-f4e1-ff8c-d9582fb8b381,d4adf883-2236-7292-1585-62da4be16d5d,Columbia College,BA,Chemistry,1979-01-01,1983-01-01,True
b9a99253-7f40-da5d-b5b5-6861e969a360,8d297d1e-3e3d-fadd-2963-57e0a40bff2a,Columbia University,MS,Computer Science,1997-01-01,2001-01-01,True
b9a99253-7f40-da5d-b5b5-6861e969a360,6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology,Ph.D,Media Arts & Sciences,2001-01-01,2005-01-01,True
f39ec508-8ca0-e20d-e9db-bf42625783c2,c94f54f4-637d-2653-c899-ba4117149c0f,Paris Diderot University,MS,Computer Science & Engineering,2002-01-01,2006-01-01,True
1e51e601-9784-12c1-a202-5d2ffa3598ad,f44448e4-ff35-c96a-b7c0-3bd2ebcb4f72,Princeton University,Ph.D.,Cognitive Science,2000-01-01,2004-01-01,True
dda38e83-13da-381f-d091-fa85c284df0f,e815ec6f-6caf-8f6a-85bb-5cdcb09752ac,Elmhurst College,BS,Economics & Finance,1989-01-01,1993-01-01,True
d10c70aa-f4ef-8f65-ddc2-8bdda12cd2bb,3b4faff0-708e-8c1c-83f0-6fea01016519,Indiana University Bloomington,BA,Computer Science,1987-01-01,1991-01-01,True
