org_uuid,org_name,type,parent_uuid,parent_name
b861cfa9-cd77-0475-b48f-ff4de11ec721,CircleLending,organization,a5eaadd8-ff2d-41b4-b191-3cae556866d8,National Family Mortgage
0686cdc6-d6e7-0417-8329-29b5c85afeef,Seedcamp,organization,b32c7a61-5fd6-2619-3e08-0055a04825e2,Seedsummit
db322722-1636-9a5e-0c0a-bf175ddb7bad,Crunchyroll,organization,55e34290-2ca0-45fb-8965-b83c17a8a9f1,Ellation
7501994d-dc2c-f877-3482-e0fb41e21807,Leaf Group,organization,b66e044b-41d9-44f9-c5b6-b39dddf04670,Graham Holdings
fe743289-a4aa-a470-00d8-bbe937e0955b,DFJ DragonFund,organization,ecc088ad-9166-7a72-e77b-1e702f278763,Draper Venture Network
ee9393bc-9830-fe9a-0dbb-a751f806b552,VeriSign Authentication Services,organization,57f25563-7693-bb4f-3cb4-bedecf93b13f,VeriSign
1be66949-17c1-3a30-b780-a7f07e5c2343,Webs,organization,5f498cbb-8161-37e2-26cc-43340f45fd8f,Cimpress
002c5c33-6708-b407-2a3c-9222397590e6,SpeedDate,organization,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f,Match Group
a6f22316-1364-28f1-4e31-679e52238c61,SueEasy,organization,a2a643cf-023c-91de-2cee-7c2d48d4269c,Webtronaut Innovations
00e435dd-f616-27b3-9128-58fb909d04b4,Zillow,organization,b8383b43-e059-21d0-7b3f-592b4b863295,Zillow Group
03030d51-f7e2-b330-8d5c-1bb770230650,Mozy,organization,e5c42bcc-71b4-0857-8782-ffae92a45eae,Dell EMC
6c416005-8be8-9aff-c02d-ff0249e9ef62,PlaySpan,organization,95b124ce-5927-50eb-d1ea-15aad4f20ce9,Visa
62a4fa91-795b-dd6f-6f9e-ef6a2b3a2a95,Easton Capital,organization,af945255-1e8d-5d36-22bc-8dcff49f2793,Easton
96fb742c-3b18-60db-f179-d64913640fd6,EchoStar,organization,b86db88a-10c4-0bdd-b470-614de0e2632d,Dish Network
b41e3cf9-41dd-472d-c43f-1a6e6c5cd914,Woophy,organization,e77b4422-65dd-faad-0c06-0aca56013ada,A5Local
c1488917-112c-1ca3-0149-d97439ae1577,MyFamily,organization,bddde3d0-8294-85c0-e521-7698ab21737a,Ancestry
9f1be266-fd44-e9a5-6215-c8fc40626a2a,Tumblr,organization,7c28cb05-95bc-4b84-98b1-88064eee80f4,Verizon Media
